progress: 10.0 s, 868.6 tps, lat 289.199 ms stddev 321.443, 0 failed
progress: 20.0 s, 911.5 tps, lat 328.489 ms stddev 323.341, 0 failed
progress: 30.0 s, 946.9 tps, lat 316.359 ms stddev 318.762, 0 failed
progress: 40.0 s, 946.4 tps, lat 316.921 ms stddev 323.422, 0 failed
progress: 50.0 s, 988.4 tps, lat 303.170 ms stddev 324.285, 0 failed
progress: 60.0 s, 1002.2 tps, lat 299.899 ms stddev 330.983, 0 failed
progress: 70.0 s, 1047.5 tps, lat 284.677 ms stddev 317.141, 0 failed
progress: 80.0 s, 1065.6 tps, lat 283.531 ms stddev 340.677, 0 failed
progress: 90.0 s, 1056.7 tps, lat 282.260 ms stddev 328.292, 0 failed
progress: 100.0 s, 1084.8 tps, lat 277.359 ms stddev 336.490, 0 failed
progress: 110.0 s, 1098.9 tps, lat 273.301 ms stddev 336.277, 0 failed
progress: 120.0 s, 1091.8 tps, lat 274.942 ms stddev 334.544, 0 failed
progress: 130.0 s, 1126.2 tps, lat 266.433 ms stddev 333.333, 0 failed
progress: 140.0 s, 1059.4 tps, lat 281.645 ms stddev 345.019, 0 failed
progress: 150.0 s, 1092.4 tps, lat 275.681 ms stddev 338.895, 0 failed
progress: 160.0 s, 1048.5 tps, lat 285.395 ms stddev 353.813, 0 failed
progress: 170.0 s, 1078.2 tps, lat 277.880 ms stddev 352.084, 0 failed
progress: 180.0 s, 1033.5 tps, lat 290.478 ms stddev 359.413, 0 failed
progress: 190.0 s, 1028.2 tps, lat 291.559 ms stddev 385.048, 0 failed
progress: 200.0 s, 999.3 tps, lat 300.564 ms stddev 357.583, 0 failed
progress: 210.0 s, 1010.8 tps, lat 296.565 ms stddev 360.129, 0 failed
progress: 220.0 s, 1015.0 tps, lat 296.078 ms stddev 352.680, 0 failed
progress: 230.0 s, 999.0 tps, lat 299.839 ms stddev 363.704, 0 failed
progress: 240.0 s, 994.6 tps, lat 302.339 ms stddev 367.309, 0 failed
progress: 250.0 s, 1001.7 tps, lat 296.322 ms stddev 360.739, 0 failed
progress: 260.0 s, 995.2 tps, lat 303.775 ms stddev 368.873, 0 failed
progress: 270.0 s, 1006.3 tps, lat 295.679 ms stddev 354.590, 0 failed
progress: 280.0 s, 1036.1 tps, lat 286.907 ms stddev 363.740, 0 failed
progress: 290.0 s, 1030.0 tps, lat 297.358 ms stddev 401.081, 0 failed
progress: 300.0 s, 1044.6 tps, lat 284.498 ms stddev 354.023, 0 failed
progress: 310.0 s, 1031.9 tps, lat 292.750 ms stddev 367.155, 0 failed
progress: 320.0 s, 1042.2 tps, lat 288.768 ms stddev 364.276, 0 failed
progress: 330.0 s, 1061.9 tps, lat 280.184 ms stddev 335.285, 0 failed
progress: 340.0 s, 1063.4 tps, lat 284.508 ms stddev 352.741, 0 failed
progress: 350.0 s, 1048.0 tps, lat 285.546 ms stddev 354.689, 0 failed
progress: 360.0 s, 1081.7 tps, lat 277.484 ms stddev 344.622, 0 failed
progress: 370.0 s, 1094.0 tps, lat 273.964 ms stddev 323.017, 0 failed
progress: 380.0 s, 1086.1 tps, lat 273.497 ms stddev 343.559, 0 failed
progress: 390.0 s, 1067.4 tps, lat 283.543 ms stddev 361.941, 0 failed
progress: 400.0 s, 1053.3 tps, lat 284.019 ms stddev 342.899, 0 failed
progress: 410.0 s, 1048.2 tps, lat 287.832 ms stddev 345.963, 0 failed
progress: 420.0 s, 1057.7 tps, lat 283.572 ms stddev 334.763, 0 failed
progress: 430.0 s, 1049.8 tps, lat 284.757 ms stddev 352.664, 0 failed
progress: 440.0 s, 1053.6 tps, lat 285.985 ms stddev 347.918, 0 failed
